epoch trainingError testError 
1 0.014259140347841712 0.014373426377960198 
2 0.012013959635561285 0.012201416005656924 
3 0.010818990270780959 0.01103570144024429 
4 0.009981614452981447 0.010202995857382881 
5 0.009406686953099203 0.009630814960069197 
6 0.00899779977393131 0.009231595128355363 
7 0.008645998289425257 0.008890624552714785 
8 0.008298670236395203 0.008551002367886992 
9 0.007956652970742472 0.008213985802037553 
10 0.007642510758333498 0.00790214261744666 
11 0.007376228365193523 0.0076369508211373794 
12 0.007151785221807189 0.0074135019107023975 
13 0.006954779949967726 0.007217033872728792 
14 0.006777161459780723 0.007039814848060479 
15 0.00661520976244112 0.006878645072940502 
16 0.0064662395128409446 0.006730570952694581 
17 0.006321375342611884 0.006587490412619322 
18 0.006169175669234203 0.006433331630879607 
19 0.006044439146894352 0.006304745264315426 
20 0.005938750884144 0.0061972404542343885 
21 0.005844864025217938 0.00610214893320081 
22 0.005759740772645655 0.006016215465619428 
23 0.005681531917199726 0.005937579311586734 
24 0.0056091794432338 0.005865181488175435 
25 0.005541906828057303 0.005798293849545246 
26 0.005479086530502313 0.0057362651622627015 
27 0.005420179834709944 0.005678524742878111 
28 0.005364702418228105 0.0056245821930761865 
29 0.005312265672357913 0.005574047355756612 
30 0.005262584575858816 0.005526650971101602 
31 0.005215470471034005 0.005482230953714998 
32 0.0051711838912751424 0.005440823576591775 
33 0.005131035365755014 0.005403185343836437 
34 0.005096180538117256 0.0053707338130092085 
35 0.005066074659510013 0.005343349358146383 
36 0.005037032067241908 0.005317636584678345 
37 0.005004359982445347 0.005289258042692715 
38 0.004966379984242773 0.005256304548706489 
39 0.0049260974490501356 0.005221084374083999 
40 0.0048871617835763576 0.0051868293518022085 
41 0.00485079135718349 0.005154727852948835 
42 0.0048166981562136925 0.00512459853529087 
43 0.0047842344903288835 0.005095853478988949 
44 0.004753000483406506 0.005068080562206483 
45 0.0047230417963951095 0.0050413152112714285 
46 0.004694668560284625 0.005015855116977219 
47 0.0046680814453305495 0.004991857084174106 
48 0.004643197670530055 0.004969221047719486 
49 0.004619756149200328 0.004947727052587062 
50 0.004597449626918409 0.004927130244238765 
51 0.004575994099908837 0.00490720750906937 
52 0.004555144564910696 0.00488776812249483 
53 0.0045346889662120846 0.00486864548007386 
54 0.0045144434940818925 0.004849694047260853 
55 0.004494256268631735 0.0048307968957396075 
56 0.004474016676426826 0.004811876989040637 
57 0.0044536623196164285 0.004792902255337901 
58 0.004433178865755069 0.004773882939684411 
59 0.0044125966707615075 0.004754869546375693 
60 0.004391989889602338 0.004735955325883585 
61 0.004371475478659372 0.004717274685630199 
62 0.00435120379372801 0.004698988259549642 
63 0.004331338160446867 0.004681258026343197 
64 0.004312030901867987 0.004664224565988177 
65 0.004293405846254654 0.004647994433082075 
66 0.004275550817251856 0.004632637015035547 
67 0.004258517032267912 0.004618186447537466 
68 0.004242320639497045 0.004604644841726665 
69 0.004226942156739554 0.004591984125353944 
70 0.004212317975312608 0.004580142471652086 
71 0.00419831048388514 0.00456900556574122 
72 0.004184634706748296 0.004558361492116657 
73 0.004170789970971237 0.004547909311778658 
74 0.004156434032847732 0.0045377500473698824 
75 0.004142237333008182 0.004528595043219272 
76 0.0041286274634382055 0.004520192980471691 
77 0.00411582272571352 0.0045120706568433895 
78 0.0041040083735905016 0.004504234108951586 
79 0.004092883741732734 0.004496683849334467 
80 0.004082161529915483 0.0044892828382523614 
81 0.004071616138806191 0.004481825834212589 
82 0.004060987218388225 0.00447397135602512 
83 0.004049946533584813 0.004465125029353487 
84 0.004038513302209285 0.004454925907752088 
85 0.004027406904572378 0.0044442261225521576 
86 0.004017037487663993 0.004433963147473241 
87 0.004007279809293583 0.00442440355949059 
88 0.003997906105282488 0.004415442847137501 
89 0.003988733605051098 0.0044068764692550754 
90 0.00397964146800655 0.004398555826256327 
91 0.003970570521397078 0.004390383840732828 
92 0.003961510649309843 0.0043822926438277475 
93 0.003952484846364323 0.004374250983498001 
94 0.003943536583714885 0.004366269041381649 
95 0.0039347185470266785 0.0043583863444049764 
96 0.003926081680200257 0.0043506526376445 
97 0.003917666375639764 0.00434311185358402 
98 0.003909498031493908 0.0043357936662892895 
99 0.0039015871301464567 0.004328712196445836 
100 0.003893932260441119 0.004321869044681143 
