epoch trainingSuccess testSuccess 
1 42.019045082240126 40.65823800923138 
2 58.194046747020046 57.094120008027296 
3 65.89198907904375 64.3387517559703 
4 67.91636145701538 66.44591611479028 
5 70.02064327095958 68.25205699377885 
6 71.57887727242459 69.79731085691351 
7 72.8307917693281 71.20208709612683 
8 73.90291003529333 72.34597631948625 
9 74.4556169674369 73.28918322295806 
10 75.05493773723114 73.99157134256473 
11 75.48112139575149 74.53341360626129 
12 76.02716920823067 75.07525586995786 
13 76.7996270892988 75.75757575757575 
14 77.4455616967437 76.27934978928357 
15 78.02490510754478 77.14228376480033 
16 78.47772524472265 77.52358017258679 
17 78.87727242458547 77.84467188440698 
18 79.15695545048945 78.06542243628336 
19 79.33675168142771 78.2059000602047 
20 79.58313910900979 78.42665061208108 
21 79.71632150229739 78.52699177202489 
22 79.87614037424252 78.6273329319687 
23 80.04261836585204 78.74774232390126 
24 80.22907371645468 79.00862933975516 
25 80.37557434907106 79.10897049969897 
26 80.41552906705734 79.28958458759783 
27 80.53539322101618 79.4099939795304 
28 80.62196177665312 79.49026690748545 
29 80.74182593061198 79.55047160345174 
30 80.92828128121462 79.75115392333936 
31 81.00819071718719 79.81135861930564 
32 81.1080775121529 79.8314268512944 
33 81.22794166611173 79.97190447521574 
34 81.34114670040621 80.11238209913706 
35 81.45435173470067 80.27292795504715 
36 81.56089764933076 80.49367850692354 
37 81.67410268362522 80.5739514348786 
38 81.76067123926217 80.71442905879992 
39 81.84058067523473 80.83483845073249 
40 81.94046747020045 80.81477021874373 
41 81.97376306852235 80.9351796106763 
42 82.10694546180994 81.01545253863135 
43 82.13358194046747 81.05558900260887 
44 82.20017313711128 81.13586193056392 
45 82.34667376972764 81.27633955448526 
46 82.45321968435772 81.31647601846277 
47 82.51315176133716 81.39674894641782 
48 82.57308383831658 81.43688541039535 
49 82.59306119730971 81.5171583383504 
50 82.69294799227542 81.55729480232792 
51 82.65965239395352 81.6174994982942 
52 82.70626623160419 81.6174994982942 
53 82.77951654791237 81.8783865141481 
54 82.81281214623426 81.95865944210315 
55 82.89272158220683 81.97872767409191 
56 82.9726310181794 82.05900060204696 
57 83.05254045415195 82.15934176199077 
58 83.105813411467 82.23961468994581 
59 83.20570020643271 82.23961468994581 
60 83.26563228341213 82.33995584988962 
61 83.3455417193847 82.3600240818784 
62 83.39215555703537 82.42022877784467 
63 83.44542851435041 82.4603652418222 
64 83.51201971099421 82.48043347381096 
65 83.57861090763801 82.52056993778848 
66 83.66517946327495 82.560706401766 
67 83.72511154025439 82.60084286574353 
68 83.73842977958313 82.62091109773229 
69 83.7850436172338 82.64097932972105 
70 83.83165745488446 82.66104756170981 
71 83.85829393354199 82.68111579369858 
72 83.89158953186389 82.76138872165362 
73 83.93154424985016 82.80152518563114 
74 83.98481720716521 82.84166164960867 
75 84.0181128054871 82.86172988159744 
76 84.05140840380902 82.90186634557496 
77 84.07804488246654 82.96207104154124 
78 84.10468136112405 83.00220750551877 
79 84.11134048078844 83.02227573750753 
80 84.13131783978159 83.12261689745132 
81 84.13797695944596 83.12261689745132 
82 84.16461343810349 83.10254866546258 
83 84.20456815608976 83.06241220148505 
84 84.20456815608976 83.06241220148505 
85 84.26450023306919 83.12261689745132 
