epoch trainingError testError 
1 0.016063536502088492 0.016107665691367953 
2 0.01218109805642059 0.012370244924380625 
3 0.010048071582337004 0.01033194349157247 
4 0.008374294987983167 0.008649345669440499 
5 0.00731970975248781 0.007582649435002716 
6 0.006686756267358989 0.006949975422806406 
7 0.006227632233422995 0.006492793789364962 
8 0.005902326818980726 0.0061709995055681125 
9 0.005667362168708565 0.00594262213544741 
10 0.0055314372777551775 0.005809803281182732 
11 0.0054246336084361226 0.005704571792766926 
12 0.005300831999235229 0.005582894954326331 
13 0.005182114481766051 0.005466216603459046 
14 0.005082278104381828 0.005369055750870615 
15 0.0050022219680471705 0.0052923179570629995 
16 0.004935624878027451 0.0052298636863747135 
17 0.004878112139205186 0.0051769468353460345 
18 0.004828705693266361 0.005132225227087912 
19 0.0047860084380183365 0.005093242945014092 
20 0.004745954208956176 0.005054595776060466 
21 0.0047111533061672175 0.0050190610162878 
22 0.0046889095152987965 0.004996410652767334 
23 0.0046636332183697836 0.0049717523120744464 
24 0.004616806936749783 0.004926553950640235 
25 0.004550456170451453 0.004863388125996426 
26 0.004476557572504656 0.004793398738299297 
27 0.004405490123285254 0.004725645187563773 
28 0.004339574039648756 0.004660863781668616 
29 0.004281475549946829 0.004603114925178533 
30 0.004230664990235066 0.004553824296914758 
31 0.004186249723874562 0.004511792927104258 
32 0.0041469695773947825 0.00447429340913869 
33 0.004112655297445802 0.004439970115134083 
34 0.004094574131612345 0.004422741189992963 
35 0.004087270799799442 0.004415328528622988 
36 0.004083383442228933 0.00441419236557576 
37 0.004078574173749908 0.004416621451850698 
38 0.004057884560387601 0.004407118145124467 
39 0.004018061519329483 0.004379573785544259 
40 0.0039709301408860686 0.004344276954431929 
41 0.0039310535052938834 0.004311092760631087 
42 0.003894349578906097 0.004280048699019135 
43 0.003858971958593456 0.004251939592876855 
44 0.0038264850388527068 0.0042276406696468635 
45 0.0037930539598819944 0.004203736359599481 
46 0.003773117313612497 0.004190736289566899 
47 0.003765108476045282 0.004189082900806822 
48 0.003750167684906983 0.004178748565164116 
49 0.003720153516749727 0.004149809116162978 
50 0.0036897973814472547 0.0041207108722148 
51 0.003667152840075281 0.004099676260445149 
52 0.0036652548992645454 0.004098130868011006 
53 0.003665444893494398 0.0040975780326152865 
54 0.0036594046064356376 0.004091380822718558 
55 0.0036415737288064305 0.004075817125562044 
56 0.0036349147333117476 0.004070060401376858 
57 0.003622774730153624 0.00405730716184693 
58 0.0035934735030586757 0.004032563532974639 
59 0.0035605312756617304 0.004003803021798374 
60 0.0035357479332613177 0.003984514771403895 
61 0.00348871940829723 0.003940836965246269 
62 0.003461183705254193 0.003918772265243271 
63 0.0034167633105581375 0.003883402790993814 
64 0.003401861292478033 0.0038685955162697477 
65 0.0033721284312137755 0.003840729696446542 
66 0.003361348076353491 0.003836835661382292 
67 0.003337299143130326 0.0037974646657717077 
68 0.003297305126873062 0.00376087043565197 
69 0.0033100187065118643 0.003783326448704943 
70 0.003293264408358727 0.003771337418712351 
71 0.003303986171574223 0.003791500824465829 
72 0.0032859095738210923 0.0037729009342284702 
73 0.003284081851563664 0.0037714344236097633 
