epoch trainingError testError 
1 0.2464248893944735 0.24633546361174555 
2 0.23114666671646455 0.23157749081994916 
3 0.23713677908293593 0.23654744906935313 
4 0.2246036067075655 0.22590805150042245 
5 0.21847407539421612 0.21914386565922508 
6 0.21813241880167197 0.21881812062552436 
7 0.21400224856202715 0.214813336948259 
8 0.20787379564870911 0.20847895857727486 
9 0.20941547630023433 0.20995709319019304 
10 0.2056687288198332 0.20579022744616954 
11 0.20100805781569686 0.2012414123235209 
12 0.189151492296689 0.19012157642425281 
13 0.1904772328826133 0.19114712245012933 
14 0.1893577858286366 0.19050791894241287 
15 0.18050952377968293 0.18144517631107346 
16 0.18681333986244447 0.18766262008300352 
17 0.17372495272827826 0.17487878135575138 
18 0.16884329423667094 0.16964303858147653 
19 0.1697459259767731 0.17057000848429707 
20 0.1671808664165648 0.1677790709059692 
21 0.164139845084505 0.16438476190080567 
22 0.1580328728732353 0.1595823099473794 
23 0.15394056122095343 0.15544404678108217 
24 0.14906267654961547 0.14954850933493458 
25 0.14734302514322406 0.1487370876115459 
26 0.14544180118778297 0.14567616076787018 
27 0.1416859373018001 0.14286729178559857 
28 0.1384339081775439 0.14018210266948933 
29 0.1315139860392591 0.13318027333572016 
30 0.13156471854981205 0.1329784336185261 
