epoch trainingError testError 
1 0.23474994986150582 0.2345165430203828 
2 0.2224948065978263 0.22314430003946575 
3 0.22563342710481046 0.225514503321511 
4 0.23300349556776123 0.2334158964883095 
5 0.23105258900766948 0.23072127638463577 
6 0.2230614128928038 0.22308562604660262 
7 0.22360081236324186 0.22317478893340673 
8 0.23435589849422633 0.2350667339565422 
9 0.2224835985832259 0.22293406348237652 
10 0.21514712634392358 0.2159688382012635 
11 0.21830097382715455 0.21778462616677455 
12 0.21105164589933662 0.21173898556697263 
13 0.2109865018453749 0.21131946813145702 
14 0.20892776900215052 0.20913934057869474 
15 0.2102962576774525 0.2104939467428129 
16 0.20706305133719294 0.20784143882356293 
17 0.19942834029323114 0.1996705031967497 
18 0.20930820792229768 0.20977946009487297 
19 0.19765989125028455 0.1979208481004653 
20 0.19851139173969964 0.1990357407293892 
21 0.1974852353082645 0.1969979755691699 
22 0.19543454255599294 0.1964627243775572 
23 0.19035520926109298 0.1898977438681214 
24 0.19015588113363385 0.19061123561080734 
25 0.1904165856596773 0.190809149795061 
26 0.1855057313806017 0.1860914973010929 
27 0.17769476240462145 0.17859658755739094 
28 0.1827119976195123 0.18219648872923708 
29 0.17996593489889476 0.17970499058801892 
30 0.1765511468205067 0.17654213092312596 
31 0.1839742471215245 0.18402098420554347 
32 0.1744225210884344 0.17530522798494672 
33 0.17131450147878627 0.17143299151299615 
34 0.16410501441189962 0.1644724126400287 
35 0.1642911531492633 0.1648981532248225 
36 0.16319752977048418 0.16426699920909002 
37 0.15986264763005426 0.1610140133228238 
38 0.1547066794160064 0.15557023710551102 
39 0.1548800590692584 0.15617624044549153 
40 0.15055803530848152 0.1520189610025074 
41 0.14492226316549997 0.14607205021391279 
42 0.14328797183599581 0.14488904031524663 
43 0.14411880086967244 0.14593752061599358 
44 0.14129802513810405 0.14215825263722268 
45 0.1374825251958438 0.13889391114578897 
46 0.13328172491099605 0.13469236276123728 
47 0.1302601295093014 0.13132712086547121 
48 0.1295132403182571 0.1306410671278953 
49 0.12986437762533817 0.13114899816707412 
50 0.12764594263174223 0.1289351876023169 
