epoch trainingError testError 
1 0.29086524296661015 0.29274676093375546 
2 0.2944900862766671 0.29687040731999986 
3 0.2960591596499558 0.29914401801264273 
4 0.2898360372453508 0.2921234204698015 
5 0.26780919321675867 0.2696338402466369 
6 0.2637101244115508 0.2669310680393412 
7 0.25291784914192494 0.25518267378763443 
8 0.26136231048575126 0.26341667078326636 
9 0.23629836146969693 0.23758828562182518 
10 0.24329391621892185 0.24489000586478493 
11 0.24178486024594256 0.2435847336775504 
12 0.23119954902096015 0.2341201178005988 
13 0.21791412280112318 0.22013630882009885 
14 0.221129574735202 0.22263996409391898 
15 0.20573241204535156 0.207266624556059 
16 0.2120842238189515 0.21418856382818885 
17 0.20030801142794916 0.20260944350213136 
18 0.20770732292278074 0.20997500115398302 
19 0.19421271685108918 0.19664912492801048 
20 0.2010382885608509 0.20243937818381785 
21 0.19200945122073834 0.1948756872935978 
22 0.1947770443069911 0.19702208924072015 
23 0.19111959084881475 0.19323163793736178 
24 0.18482826784428258 0.1857287833176836 
25 0.18897030158891032 0.19069126075823034 
26 0.17142739666985884 0.17240934877583364 
27 0.16849365438949884 0.1702637606173874 
28 0.16802357407639723 0.17013519331586455 
29 0.15328601662256602 0.15480225676253173 
30 0.1562262116515803 0.15746376607680826 
