epoch trainingError testError 
1 0.2776852516410799 0.27830492318806127 
2 0.2586959682461018 0.2588179423504565 
3 0.296094930643509 0.2950222929205313 
4 0.2508752385170577 0.2514600363050534 
5 0.23675929780226238 0.23727747198508062 
6 0.24688297764223596 0.24824260949267493 
7 0.2504006533616417 0.2504343915989378 
8 0.23345342660847743 0.23382050604273363 
9 0.23876717497848235 0.23823373338507292 
10 0.21985273462911256 0.2207579858426696 
11 0.230272863768028 0.23064230965170396 
12 0.21630529499042372 0.21725299558335873 
13 0.21155926165002145 0.212021743642641 
14 0.20894788139725273 0.2098099004404073 
15 0.2036191871446579 0.20516197865322905 
16 0.21042512815566686 0.21106599104348508 
17 0.19761580267154355 0.19824364449644824 
18 0.18536312941412847 0.18519427876203676 
19 0.18703432303108514 0.18833390926242824 
20 0.1698249222284811 0.1709777868704659 
21 0.17250341779515987 0.1734552023728612 
22 0.17290699729844336 0.17451797890894083 
23 0.1624997410769941 0.16467974229966598 
24 0.16318397870352164 0.16494350669038457 
25 0.15799602422175632 0.15981207108736048 
26 0.15872134548850522 0.16071827579140424 
27 0.14800310717654053 0.15057225148228948 
28 0.1455243138500954 0.14722004374299344 
29 0.1403058207375142 0.14216930827071037 
30 0.14349511682400903 0.14656044661411607 
