epoch trainingError testError 
1 0.21981555017636922 0.21923775390850528 
2 0.2173536024508515 0.21665878427964175 
3 0.21191790209034994 0.21164509564523107 
4 0.2114697140064776 0.2112508715854452 
5 0.2083233733817287 0.20748713002290875 
6 0.20025876366913548 0.20012279531731164 
7 0.21056805631653286 0.20970157511334753 
8 0.2025115352227533 0.20186636135758507 
9 0.1941142843412078 0.19458938834953235 
10 0.19578581966879816 0.1953825489816349 
11 0.18333918543968944 0.18289599962053632 
12 0.18235349635055625 0.18200939137493394 
13 0.17732087839449298 0.1764833903638304 
14 0.17320519440020074 0.17230355454994156 
15 0.17265200797789765 0.17223864153285773 
16 0.1678867502525997 0.1678160561806525 
17 0.1653824827152214 0.16516605063607961 
18 0.1624798549807183 0.16209114718676473 
19 0.15958651396980456 0.15977930162602655 
20 0.15529821328578922 0.15554231039910854 
21 0.151623546361126 0.1519927530711611 
22 0.1473306037990532 0.14789112277678046 
23 0.14415092766531537 0.14488549398322878 
24 0.1414316224625132 0.14217331993384283 
25 0.1390536476021714 0.1401602890620491 
26 0.13448469959784587 0.13508451178677172 
27 0.1320451126589723 0.13295077644273556 
28 0.13000170675963735 0.13109365001630358 
29 0.12625633943841194 0.12729053793844364 
30 0.1246855923583552 0.1259490127801462 
