epoch trainingError testError 
1 0.23780731365016156 0.23809467833247175 
2 0.21968375259509249 0.2206788561459984 
3 0.20471850202391478 0.20608189184606737 
4 0.20351965637228325 0.20500338528749174 
5 0.19436640842087502 0.19484076638131415 
6 0.19059192227835087 0.19122935985892836 
7 0.18261716494115798 0.18390038101403228 
8 0.17886457588697643 0.1798387937593771 
9 0.17114938352669712 0.17337439576916405 
10 0.1612938899341657 0.16286165062547395 
11 0.1537423354704702 0.1555060802533799 
12 0.15332966134870724 0.15465210620791 
13 0.14620500784269405 0.14811230812433104 
14 0.13817157670839697 0.13976172653960428 
15 0.13245170343694193 0.13415565917892358 
