epoch trainingError testError 
1 0.22943871226148857 0.22904278754037688 
2 0.22355648282827228 0.22224606177525882 
3 0.2175220831435488 0.21595567672125127 
4 0.21071448397108758 0.2104808977668735 
5 0.20441536833297175 0.20365022628990917 
6 0.2004121067050123 0.20073969821951648 
7 0.19414047360884654 0.19356686841224652 
8 0.19007196558531023 0.19067157160091444 
9 0.1821157790506875 0.18266557220041035 
10 0.17921157123591439 0.18041834668166917 
11 0.17423456259308065 0.17462443039048914 
12 0.1673081376619484 0.1677723076630591 
13 0.15959948488590706 0.15949379446501394 
14 0.15316994329265668 0.1538494641006532 
15 0.1504081692018756 0.1508527966217724 
16 0.14708773222879962 0.14837509431256563 
17 0.14199549833570668 0.14323062663418543 
18 0.13648679348259962 0.13807483623954364 
19 0.13328244609245155 0.1343253983686012 
20 0.12803487826639684 0.1295560075037247 
