epoch trainingError testError 
1 0.25063182197095196 0.25356031762306264 
2 0.25292520278451797 0.25579329430119746 
3 0.2444994751661441 0.24683838643879957 
4 0.2246238920014447 0.2278561543056574 
5 0.2384970261220576 0.24005909422968819 
6 0.2348748862657942 0.2378391388553511 
7 0.2128563652789056 0.21571502072246845 
8 0.21652900045743953 0.21944554991351936 
9 0.2131981452474853 0.2151428331083312 
10 0.21907096877353002 0.22158420816794328 
11 0.19627816244620813 0.19786482719849427 
12 0.20346367438250046 0.20611002415201393 
13 0.1945280134204009 0.19689499971407656 
14 0.1919422023466691 0.19467981686597793 
15 0.1903501774173682 0.19250726691246223 
16 0.18571473763872595 0.18814544342967643 
17 0.18100803870022833 0.18318440944488112 
18 0.17165243938036104 0.17226329246835437 
19 0.1726956015516845 0.1755771957972671 
20 0.16605416408586388 0.16807485270420833 
21 0.15836639646595738 0.16035358374065187 
22 0.16776601047033296 0.16964783309838197 
23 0.14896094101696203 0.15089418853708197 
24 0.15414374169544728 0.15640517047034969 
25 0.14532704774864677 0.14724445404285888 
26 0.14861323510410432 0.15034600731868827 
27 0.14303005081942602 0.14508150607136153 
28 0.1386757892694175 0.14047200823963824 
29 0.1367579648577989 0.13879197639040705 
30 0.13615831431359757 0.13827732900973028 
