epoch trainingError testError 
1 0.21972063925549026 0.21984621460963963 
2 0.2153966464105549 0.21547911304184705 
3 0.20672625352673418 0.20684063760887922 
4 0.20436909779640802 0.20435877552209294 
5 0.19496574390242208 0.19572710142783675 
6 0.18977887267060634 0.1909831914063472 
7 0.1855425717221496 0.18700128755003667 
8 0.17868580204730716 0.17975803773067736 
9 0.17031798374942825 0.17158397126050903 
10 0.16067921909559105 0.16134359014417637 
11 0.1544508520734356 0.15580869020902238 
12 0.14929862950011677 0.15111234297140438 
13 0.14124430655824718 0.14260780757825994 
14 0.1379173276471656 0.13912695954961832 
15 0.1309711762036774 0.1323273463997952 
