epoch trainingError testError 
1 0.22719307991247584 0.2272505054440008 
2 0.21801734762499195 0.21803190543984097 
3 0.224948837017275 0.22505350888917763 
4 0.22378379734678205 0.22407652984448415 
5 0.22127194067538375 0.22159844775438053 
6 0.22389239218238816 0.22425221148700417 
7 0.21974815187309718 0.2203568797053817 
8 0.21932149067201726 0.2190825858461564 
9 0.2112652732621474 0.21167835633713394 
10 0.2158838665994239 0.21624744315669603 
11 0.2197736836158967 0.22048302632280334 
12 0.2125057708914309 0.21280575437670976 
13 0.21536124200256304 0.21633363715056947 
14 0.2110917104481285 0.2105552400220028 
15 0.2037018174657371 0.2035550439991374 
16 0.20386475044593305 0.20362249626891687 
17 0.20623470303454053 0.20656258361823296 
18 0.2057554421530228 0.20550453756669618 
19 0.20358336754038808 0.2041830503700111 
20 0.20302330703696636 0.20366576555156812 
21 0.20603781444548552 0.20605734339098628 
22 0.19701639977160132 0.1968352412616091 
23 0.19496122247829684 0.19457441109598508 
24 0.19683131770902154 0.19752705485473585 
25 0.19448732899171087 0.19447917045087135 
26 0.19735499645748025 0.19808347429001819 
27 0.19078700576274177 0.19130172733735076 
28 0.1897718205785118 0.19032562596795136 
29 0.19003262463077938 0.19106558132873763 
30 0.18882937316723813 0.18912773431230034 
31 0.18741344094141452 0.18797524422591896 
32 0.18189280089705054 0.18187125373281077 
33 0.1859371292964261 0.18684676105756523 
34 0.17852015464161292 0.17923532619125615 
35 0.18204265625570903 0.18281765930341368 
36 0.1808021799551573 0.1812313332595633 
37 0.18077252047104297 0.18068907698868164 
38 0.17394637362165716 0.17453955944071708 
39 0.17918386080603244 0.17958539484524774 
40 0.174630460341738 0.17549386108377973 
41 0.17788529072913958 0.17844954985555042 
42 0.17016382359293736 0.17123480506157557 
43 0.17214275425937478 0.1728929803247763 
44 0.1679594728148163 0.16930068269816287 
45 0.16519453031379855 0.1660451867518855 
46 0.16403319405190336 0.1651161870369984 
47 0.1636980971206266 0.16485410761061706 
48 0.1656041810024669 0.16678512214113106 
49 0.16655567890816822 0.16694486151337734 
50 0.16362365259851389 0.16454116926371898 
51 0.16171527541320746 0.16307581791829784 
52 0.1559989666019647 0.1573582730480779 
53 0.1553609797841852 0.15572369055285823 
54 0.1563161782694186 0.15810162612454717 
55 0.15474293480778117 0.15662536756484818 
56 0.1547189239401687 0.15626165533854933 
57 0.15189184413135012 0.1538047118099845 
58 0.15035746907610711 0.15112167685924513 
59 0.14806029888370897 0.14992690089996383 
60 0.14692060895354553 0.14799772297740788 
61 0.14464035508447481 0.1459263051970621 
62 0.1454946198971795 0.14661010912806002 
63 0.1478792952145655 0.14867920369053436 
64 0.14235783636163854 0.14346417670932737 
65 0.14216689366762417 0.14338639466794398 
66 0.1445552685186457 0.14534759310022083 
67 0.14303690595976795 0.14413185651240976 
68 0.13894276208426912 0.14034614271395737 
69 0.14099765234697953 0.14198432871173575 
70 0.13797539820127344 0.13947363779774388 
71 0.13717445753607044 0.1387710492951433 
72 0.13646714494190967 0.13777492847558467 
73 0.13685022055198803 0.13797090834562264 
74 0.13448902622508738 0.13565308381984695 
75 0.13517970825654227 0.1364031281982582 
76 0.13232802565747384 0.13373045895234753 
77 0.13076028244932622 0.1322195366491461 
78 0.1317052556570002 0.13308629964039 
79 0.1268383949915969 0.1284164768451525 
80 0.12549000417670123 0.12717965642684365 
81 0.12452701037441506 0.12634702830214825 
82 0.12475369802173383 0.12645952132685861 
83 0.12462997470251491 0.12624252885097556 
84 0.12242116155508352 0.1239531283826298 
85 0.12174673958704883 0.12347528782506197 
