epoch trainingError testError 
1 0.22294552670659884 0.22293134674353723 
2 0.2330102845664177 0.2325811724697549 
3 0.21877114263942676 0.219264942109603 
4 0.2174521499225045 0.2185990231989035 
5 0.22198263462671808 0.22254173620217288 
6 0.21475106078369674 0.21517586780599554 
7 0.20315002243864164 0.20303657339312897 
8 0.20561897347116184 0.2050203486859094 
9 0.2042832682294345 0.20483071173195552 
10 0.20425185369856014 0.20401223442702845 
11 0.18513463526712085 0.18534520466930104 
12 0.18808602862702925 0.18845065577111914 
13 0.177465395039451 0.178287661130916 
14 0.17723571014850448 0.1773669931603694 
15 0.17431472965533643 0.1743040264544071 
16 0.170537463996423 0.17117900235755656 
17 0.16987092106157217 0.17110209499910276 
18 0.17408314146239912 0.174326489129807 
19 0.1628467666286579 0.16382776280453076 
20 0.16158137549866944 0.16182400551806778 
21 0.15710454389353282 0.1577630551840234 
22 0.1476267509177749 0.14902068699547985 
23 0.14741929532578454 0.14837268387609728 
24 0.14238880033144405 0.14355143975497617 
25 0.1429792894820529 0.14409103373271118 
26 0.14042733669814925 0.14208185979081067 
27 0.13593300017644347 0.13737564775626834 
28 0.13440357899245375 0.1359163887042628 
29 0.1319376984749759 0.13338234116428405 
30 0.12858892556621684 0.1292879442162986 
