epoch trainingError testError 
1 0.24933197884050173 0.24925433402309108 
2 0.24203903320627815 0.24140686635384548 
3 0.24124640633368616 0.24126489747665425 
4 0.2249102326016627 0.2259025018974967 
5 0.21318810035612737 0.21382387619541343 
6 0.22315050872467765 0.2241200487714305 
7 0.20049844826113036 0.20181660260867196 
8 0.18903162155526088 0.19024424476766055 
9 0.18759253311021432 0.18849095221310336 
10 0.1881780430786113 0.1893261590352493 
11 0.1728366141262944 0.1736793059759763 
12 0.17216181769520686 0.17326229981675384 
13 0.17419315091409596 0.17466479613487945 
14 0.16632770824884505 0.16761782007477286 
15 0.157909925408908 0.15823124737954847 
16 0.14953046399100037 0.1509960479915227 
17 0.14559861918788783 0.1465354329559633 
18 0.14433981464138432 0.145181633474582 
19 0.1362943881549903 0.1370974369333982 
20 0.13445867749957907 0.13579629566598442 
