epoch trainingError testError 
1 0.21803979813587437 0.2188919423531079 
2 0.2184729975424052 0.21929444045324098 
3 0.20945582032780186 0.2101754468337194 
4 0.20715974981520585 0.20815019610775842 
5 0.20447312359662606 0.20499184183908048 
6 0.20356005018337303 0.2037449936630066 
7 0.20152573681487645 0.20223133870894475 
8 0.20114365709834758 0.20147464795849915 
9 0.19400326996527467 0.19519700652504 
10 0.1948620319470983 0.19547237141725257 
11 0.1879693077324083 0.18856278559024897 
12 0.18597768961749359 0.18643597714899765 
13 0.17777117282057195 0.17873186849764805 
14 0.1749285138690109 0.1760941239398158 
15 0.1746380137627285 0.17570993935239543 
16 0.1724923976812282 0.17253275987112193 
17 0.1731347742887937 0.17346768304756652 
18 0.16466251435111354 0.16539060211677714 
19 0.1629293824350092 0.16421179471415664 
20 0.16062748010716585 0.16182177222039718 
21 0.153309694217479 0.15422466744155988 
22 0.1513287867702907 0.15248703636738417 
23 0.14657096025850064 0.14792462950664667 
24 0.1450432632886728 0.146070941590562 
25 0.14245973978542462 0.14362534164275906 
26 0.1380898312819704 0.1396009704119833 
27 0.13519797299486744 0.13690603776767135 
28 0.1328111174787299 0.13440301381359412 
29 0.12770355814262208 0.12960615896389893 
30 0.12775381046528478 0.12962660931210218 
