epoch trainingError testError 
1 0.23295124939490605 0.2333786834247262 
2 0.22128177474192573 0.2211314622098307 
3 0.21190852614251443 0.21203281671277752 
4 0.2129417943434937 0.21411134341661395 
5 0.19684175315694946 0.19812002552963187 
6 0.19324774227451913 0.19476979431807803 
7 0.19172879338976292 0.1920781443345304 
8 0.17315586011027895 0.17359169221207 
9 0.17375844889244443 0.174736057940534 
10 0.16748992821033623 0.1687979813431028 
11 0.16147076995022377 0.16145249371465858 
12 0.14981933847590903 0.15065331005272026 
13 0.14598191647617448 0.1470192611248341 
14 0.13801565367629998 0.13848454429320683 
15 0.13143781974785898 0.13235244119407388 
