epoch trainingError testError 
1 0.2676625398263356 0.26968249270479655 
2 0.24204907920592814 0.24427539504210533 
3 0.24897820008557506 0.2506415735030271 
4 0.22287005862470188 0.22318423733945 
5 0.23302860923547342 0.23510294825907863 
6 0.2387858018594464 0.2401414010334444 
7 0.22983908622171711 0.23175981803269458 
8 0.23023143929156012 0.23147612188665792 
9 0.21798914617919377 0.21920913658373017 
10 0.21598554998831943 0.21732767979407633 
11 0.2136998211179188 0.21432970534108514 
12 0.20211856173330686 0.20233899741561784 
13 0.19135939897143078 0.19239326122169972 
14 0.19713125770443476 0.19745723073472757 
15 0.19398353106629088 0.195320018133472 
16 0.19261945296230928 0.19385401622345033 
17 0.18119492836370765 0.18174972372440518 
18 0.1837944444354601 0.18476367694274368 
19 0.17285930483735676 0.174408916998737 
20 0.1721304643102593 0.17298680498113533 
21 0.16675055443247408 0.1682164764987015 
22 0.16435930600246879 0.16526866708742075 
23 0.15511229984534222 0.15605694371061912 
24 0.15869554687268744 0.15873966594089245 
25 0.154693236048741 0.15519156367139914 
26 0.1489015568694491 0.1500724214007233 
27 0.14412160030450008 0.1456586932249729 
28 0.1400235600831658 0.1413019355920255 
29 0.141013457704957 0.14272452506278419 
30 0.13738197536191143 0.13921862414771952 
